"BehaviorSpace results (NetLogo 6.0.4)"
"Business-investor.nlogo"
"network-size-effect"
"03/25/2019 11:49:23:995 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","number-of-links","n_turtles","sensing-radius","[step]","mean [W] of turtles"
"182","1","10","7","24","174996.3"
"183","1","10","7","24","236269.1"
"185","1","10","7","24","212141.7"
"184","1","10","7","24","200064.2"
"188","1","10","7","24","183044.7"
"187","1","10","7","24","182348.6"
"186","1","10","7","24","199844.5"
"190","1","10","7","24","179866"
"189","1","10","7","24","167300.3"
"192","1","10","8","24","215602.3"
"191","1","10","8","24","157261"
"193","1","10","8","24","149367.1"
"194","1","10","8","24","204199.9"
"197","1","10","8","24","183495.2"
"195","1","10","8","24","203917.7"
"198","1","10","8","24","204999"
"199","1","10","8","24","169333.8"
"196","1","10","8","24","177972"
"200","1","10","8","24","166733"
"201","1","10","9","24","216383.7"
"204","1","10","9","24","191803.4"
"203","1","10","9","24","218309.7"
"202","1","10","9","24","189344.6"
"205","1","10","9","24","195670.7"
"207","1","10","9","24","179909.2"
"206","1","10","9","24","197138.9"
"209","1","10","9","24","220448.1"
"208","1","10","9","24","204519.3"
"210","1","10","9","24","235145.2"
"211","1","10","10","24","219381.4"
"212","1","10","10","24","212444.1"
"213","1","10","10","24","208892.8"
"214","1","10","10","24","241072"
"217","1","10","10","24","213903.5"
"218","1","10","10","24","199944.2"
"216","1","10","10","24","198836.9"
"221","2","10","0","24","141774.2"
"222","2","10","0","24","153748.8"
"215","1","10","10","24","202578.4"
"223","2","10","0","24","149977"
"224","2","10","0","24","146085.3"
"226","2","10","0","24","162890.6"
"225","2","10","0","24","158393.8"
"227","2","10","0","24","199927.5"
"228","2","10","0","24","134287.4"
"229","2","10","0","24","131600.4"
"230","2","10","0","24","103112.3"
"232","2","10","1","24","93898.8"
"231","2","10","1","24","168189.6"
"233","2","10","1","24","161282.1"
"235","2","10","1","24","140677.1"
"220","1","10","10","24","198863.6"
"234","2","10","1","24","104263"
"236","2","10","1","24","163219.2"
"237","2","10","1","24","156300.8"
"240","2","10","1","24","165150.9"
"238","2","10","1","24","159303.1"
"219","1","10","10","24","196318"
"239","2","10","1","24","180705.9"
"242","2","10","2","24","158914.2"
"241","2","10","2","24","157125.4"
"245","2","10","2","24","146065.2"
"243","2","10","2","24","151465.7"
"247","2","10","2","24","163482.7"
"244","2","10","2","24","198909.1"
"246","2","10","2","24","137702.9"
"249","2","10","2","24","126197.9"
"248","2","10","2","24","181357.6"
"250","2","10","2","24","187509.8"
"252","2","10","3","24","206926.1"
"253","2","10","3","24","177695"
"255","2","10","3","24","230064.5"
"251","2","10","3","24","149396.4"
"254","2","10","3","24","225079.1"
"257","2","10","3","24","181556.8"
"256","2","10","3","24","167057.5"
"259","2","10","3","24","217268.9"
"260","2","10","3","24","170190.1"
"258","2","10","3","24","193605.8"
"262","2","10","4","24","199582.1"
"263","2","10","4","24","147933"
"261","2","10","4","24","178502.5"
"264","2","10","4","24","131629"
"266","2","10","4","24","152771"
"265","2","10","4","24","168726.1"
"267","2","10","4","24","151743.2"
"268","2","10","4","24","160870.2"
"269","2","10","4","24","201037.9"
"270","2","10","4","24","198859.9"
"272","2","10","5","24","197884"
"273","2","10","5","24","196754.5"
"271","2","10","5","24","222630.5"
"275","2","10","5","24","178505.4"
"276","2","10","5","24","167888.1"
"278","2","10","5","24","169254.1"
"274","2","10","5","24","221507.3"
"277","2","10","5","24","202078.1"
"279","2","10","5","24","170871.1"
"280","2","10","5","24","178532.4"
"283","2","10","6","24","166816.3"
"282","2","10","6","24","204828"
"281","2","10","6","24","195919.4"
"284","2","10","6","24","219388.6"
"285","2","10","6","24","163404.3"
"286","2","10","6","24","164180.2"
"288","2","10","6","24","209061"
"289","2","10","6","24","236059.6"
"287","2","10","6","24","221416.2"
"292","2","10","7","24","185446.5"
"290","2","10","6","24","173732.2"
"291","2","10","7","24","189337.1"
"295","2","10","7","24","187735.3"
"294","2","10","7","24","195759"
"296","2","10","7","24","195228.1"
"293","2","10","7","24","222465.9"
"297","2","10","7","24","189008.6"
"298","2","10","7","24","206826"
"299","2","10","7","24","222657.4"
"300","2","10","7","24","198766.1"
"301","2","10","8","24","219606.1"
"302","2","10","8","24","184975.1"
"305","2","10","8","24","189651"
"306","2","10","8","24","161737.3"
"304","2","10","8","24","211286"
"303","2","10","8","24","175190"
"308","2","10","8","24","180169.9"
"309","2","10","8","24","194030.5"
"307","2","10","8","24","238399.4"
"310","2","10","8","24","204950.7"
"312","2","10","9","24","201230.7"
"313","2","10","9","24","210339.9"
"315","2","10","9","24","201743.5"
"311","2","10","9","24","178151.4"
"314","2","10","9","24","187806.6"
"316","2","10","9","24","175845.4"
"317","2","10","9","24","184425.9"
"318","2","10","9","24","240554.5"
"320","2","10","9","24","212966.3"
"319","2","10","9","24","197095.8"
"321","2","10","10","24","194148.2"
"322","2","10","10","24","224211.2"
"323","2","10","10","24","199874.5"
"326","2","10","10","24","196593.8"
"324","2","10","10","24","212578.6"
"325","2","10","10","24","168572"
"327","2","10","10","24","187153.1"
"328","2","10","10","24","184850"
"331","3","10","0","24","186485.4"
"333","3","10","0","24","145232.5"
"334","3","10","0","24","167187.1"
"332","3","10","0","24","182740.7"
"335","3","10","0","24","161636"
"329","2","10","10","24","198203.2"
"337","3","10","0","24","138107.1"
"336","3","10","0","24","147726.2"
"338","3","10","0","24","102727.3"
"339","3","10","0","24","149444.9"
"341","3","10","1","24","140389"
"340","3","10","0","24","125123.7"
"342","3","10","1","24","137601"
"343","3","10","1","24","174922"
"345","3","10","1","24","183227.6"
"344","3","10","1","24","198866"
"347","3","10","1","24","170251"
"349","3","10","1","24","170342.4"
"346","3","10","1","24","184102.2"
"348","3","10","1","24","189179.4"
"330","2","10","10","24","208985.4"
"350","3","10","1","24","157326.9"
"352","3","10","2","24","169825.1"
"353","3","10","2","24","127409.3"
"351","3","10","2","24","182250.8"
"356","3","10","2","24","195978.9"
"355","3","10","2","24","225260.7"
"354","3","10","2","24","137009.2"
"357","3","10","2","24","176268.9"
"358","3","10","2","24","139089.6"
"359","3","10","2","24","150071.5"
"362","3","10","3","24","158961"
"360","3","10","2","24","182289.2"
"361","3","10","3","24","181271.2"
"363","3","10","3","24","210135"
"365","3","10","3","24","195822.9"
"367","3","10","3","24","151736.6"
"368","3","10","3","24","169047.4"
"364","3","10","3","24","167701"
"370","3","10","3","24","218687.3"
"366","3","10","3","24","203633.6"
"369","3","10","3","24","196199.4"
"372","3","10","4","24","200544.9"
"371","3","10","4","24","137782.4"
"375","3","10","4","24","214915.2"
"373","3","10","4","24","182754"
"374","3","10","4","24","215469.4"
"376","3","10","4","24","165191.8"
"377","3","10","4","24","190519.1"
"379","3","10","4","24","193277.1"
"378","3","10","4","24","228658.7"
"382","3","10","5","24","204496.9"
"381","3","10","5","24","198673"
"380","3","10","4","24","188421.9"
"384","3","10","5","24","231064.1"
"386","3","10","5","24","207207"
"385","3","10","5","24","226206.3"
"383","3","10","5","24","179265.6"
"389","3","10","5","24","187307.6"
"388","3","10","5","24","169554.9"
"387","3","10","5","24","186123.6"
"391","3","10","6","24","195751.4"
"390","3","10","5","24","230381.6"
"392","3","10","6","24","205889.3"
"393","3","10","6","24","215989.8"
"394","3","10","6","24","210394.6"
"396","3","10","6","24","175417.3"
"395","3","10","6","24","214793.8"
"397","3","10","6","24","210708.8"
"399","3","10","6","24","203938.7"
"398","3","10","6","24","221698"
"402","3","10","7","24","202445.3"
"400","3","10","6","24","203256.2"
"401","3","10","7","24","234847.7"
"404","3","10","7","24","177409.4"
"403","3","10","7","24","155665.1"
"405","3","10","7","24","154714.6"
"407","3","10","7","24","228819.5"
"408","3","10","7","24","194037.8"
"406","3","10","7","24","198075.1"
"410","3","10","7","24","199306"
"411","3","10","8","24","177007.2"
"412","3","10","8","24","232870.6"
"409","3","10","7","24","176202.8"
"415","3","10","8","24","180316.7"
"413","3","10","8","24","198106.4"
"417","3","10","8","24","194460.9"
"414","3","10","8","24","220092"
"416","3","10","8","24","185282.9"
"418","3","10","8","24","204309.8"
"419","3","10","8","24","235396.5"
"420","3","10","8","24","230576.6"
"423","3","10","9","24","212436.9"
"421","3","10","9","24","229632.4"
"422","3","10","9","24","184658.3"
"424","3","10","9","24","218286.6"
"427","3","10","9","24","218952.4"
"426","3","10","9","24","208898.6"
"428","3","10","9","24","199322.1"
"429","3","10","9","24","204809.2"
"430","3","10","9","24","224915.4"
"425","3","10","9","24","160932.2"
"431","3","10","10","24","162202.2"
"432","3","10","10","24","225996.7"
"433","3","10","10","24","189067.2"
"435","3","10","10","24","214289.3"
"434","3","10","10","24","204984.8"
"436","3","10","10","24","226013.9"
"437","3","10","10","24","190719.5"
"441","4","10","0","24","166417"
"442","4","10","0","24","164945.3"
"443","4","10","0","24","144238.5"
"444","4","10","0","24","193731.6"
"439","3","10","10","24","231461.5"
"445","4","10","0","24","145354.1"
"446","4","10","0","24","166594.3"
"447","4","10","0","24","212596.7"
"448","4","10","0","24","120902.3"
"438","3","10","10","24","211867.8"
"449","4","10","0","24","146656.6"
"451","4","10","1","24","164581.9"
"440","3","10","10","24","189337.7"
"450","4","10","0","24","163984.3"
"454","4","10","1","24","183604.1"
"452","4","10","1","24","163094.3"
"455","4","10","1","24","196435.1"
"456","4","10","1","24","157345"
"457","4","10","1","24","133230.5"
"458","4","10","1","24","204017.1"
"460","4","10","1","24","129854"
"453","4","10","1","24","163221.4"
"459","4","10","1","24","162523"
"462","4","10","2","24","179676.7"
"461","4","10","2","24","158503.4"
"463","4","10","2","24","146108.1"
"464","4","10","2","24","171823.6"
"465","4","10","2","24","164827.4"
"466","4","10","2","24","146494.8"
"468","4","10","2","24","167306.8"
"469","4","10","2","24","196841.3"
"467","4","10","2","24","188842.3"
"470","4","10","2","24","182684.7"
"472","4","10","3","24","179927.9"
"475","4","10","3","24","192271"
"471","4","10","3","24","211205.9"
"473","4","10","3","24","210766.8"
"474","4","10","3","24","185574.5"
"476","4","10","3","24","149299.7"
"480","4","10","3","24","184378.2"
"477","4","10","3","24","162383.4"
"479","4","10","3","24","148152.6"
"478","4","10","3","24","220592.3"
"481","4","10","4","24","209646.4"
"482","4","10","4","24","196564.7"
"485","4","10","4","24","211399.7"
"484","4","10","4","24","217701.2"
"483","4","10","4","24","171652.7"
"486","4","10","4","24","195808.4"
"487","4","10","4","24","177585.5"
"488","4","10","4","24","197245.4"
"490","4","10","4","24","200168.4"
"489","4","10","4","24","159000.9"
"492","4","10","5","24","190342.7"
"493","4","10","5","24","201096.4"
"491","4","10","5","24","155841.7"
"495","4","10","5","24","202571.4"
"494","4","10","5","24","206725.9"
"496","4","10","5","24","220421.2"
"497","4","10","5","24","201332.9"
"498","4","10","5","24","221265.8"
"500","4","10","5","24","182359.5"
"499","4","10","5","24","187278.8"
"501","4","10","6","24","162501.4"
"502","4","10","6","24","227966.2"
"505","4","10","6","24","218164.5"
"504","4","10","6","24","147809.1"
"506","4","10","6","24","210488.5"
"503","4","10","6","24","169921.4"
"507","4","10","6","24","180958.9"
"508","4","10","6","24","199103.9"
"509","4","10","6","24","182534.4"
"510","4","10","6","24","177363"
"512","4","10","7","24","196003.4"
"511","4","10","7","24","236229.6"
"515","4","10","7","24","235254.9"
"514","4","10","7","24","193432.7"
"513","4","10","7","24","216267.1"
"516","4","10","7","24","206317.5"
"517","4","10","7","24","203739.6"
"518","4","10","7","24","189293.1"
"520","4","10","7","24","183838.9"
"519","4","10","7","24","207737.4"
"521","4","10","8","24","221016.5"
"522","4","10","8","24","194449"
"525","4","10","8","24","206579.1"
"523","4","10","8","24","184917.5"
"524","4","10","8","24","216235"
